Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4fMjqKYYsvtT6Fvca8lGFl,"Sua Mãe Vai Me Amar","Sua Mãe Vai Me Amar","Turma do Pagode",2018-06-28,183758,67,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:25:48Z,"pagode,samba","Turma do Pagode Produções Artísticas ltda.",0.571,0.816,8,-6.011,0,0.0374,0.4,0,0.808,0.942,163.941,4
spotify:track:5ERWSokrBWx8sUwHV6QN93,"Surface","Surface","Aero Chord",2014-04-23,254117,0,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:25:55Z,"edm trap,dubstep","Monstercat",0.573,0.735,2,-4.132,1,0.0428,0.0445,0.865,0.187,0.246,170.007,4
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,94,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:26:01Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
spotify:track:55GiOwtxNajXVbpjjIzMnD,"SWISH","SWISH","Tyga",2018-07-25,194935,60,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:26:14Z,"","Last Kings Music / EMPIRE",0.884,0.541,11,-5.608,1,0.221,0.0831,0,0.118,0.274,105.009,4
spotify:track:2eknDuc5IeulN0hnwEZsjF,"The Next Episode","2001","Dr. Dre;Snoop Dogg",1999-11-16,161506,3,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:26:43Z,"hip hop old school,g-funk,gangster rap,west coast hip hop,hip hop,rap","Aftermath",0.923,0.912,10,-2.399,0,0.266,0.0308,0,0.111,0.287,95.305,4
spotify:track:7LRMbd3LEoV5wZJvXT1Lwb,"T.N.T.","High Voltage","AC/DC",1976-05-14,215096,82,false,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:27:06Z,"rock,hard rock,rock clássico,rock and roll","Columbia",0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,4
spotify:track:6rj7LnwiXfEpBU8LyYjr5M,"Trip","Trip","Maquiny;Orochi",2018-06-08,253514,46,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:27:15Z,"hip hop brasileiro,trap brasileiro,trap funk,trap","Deckdisc",0.714,0.592,8,-7.668,1,0.0814,0.273,0,0.116,0.521,110.026,4
spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,"Tunnel Vision","Painting Pictures","Kodak Black",2017-03-31,268186,78,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:27:21Z,"","Atlantic Records",0.497,0.489,11,-7.724,0,0.294,0.0576,0.0000991,0.122,0.231,171.853,4
spotify:track:6R0GRYk2vs2XuBVemYK5YZ,"Ultimate","Ultimate","Denzel Curry",2015-01-01,189974,63,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:27:26Z,"","Loma Vista",0.493,0.826,9,-3.106,1,0.311,0.095,0.00000342,0.252,0.75,112.865,4
spotify:track:4h4tD5u0YMrHRh47sIy1Wl,"U Mad Bro","U Mad Bro","Kevin Flum",2014,229067,36,true,8jtopaclkzi6fkcxvnzy3t27q,2021-07-03T21:27:30Z,"","SOON Music Group",0.779,0.644,9,-6.954,1,0.3,0.062,0,0.0929,0.249,118.076,3
