Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5PHOJumdwAHxdpPW2jofzO,"Hobby + Gestão Inteligente","EVDC DELUXE","Ryu, The Runner;Jovem Dex;SUSHIBOY011;engless",2023-07-28,177635,47,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-06T12:34:25Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Som Livre",0.845,0.676,7,-4.191,1,0.136,0.228,0,0.143,0.58,135.995,4
spotify:track:1jKXjxMWlq4BhH6f9GtZbu,"TORE UP","HARDSTONE PSYCHO","Don Toliver",2024-06-14,126986,80,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-16T19:08:47Z,"","Cactus Jack / Atlantic",0.534,0.819,11,-4.329,1,0.038,0.0012,0.0011,0.112,0.0806,154.994,4
spotify:track:093MlZS93ZKlHpGkmb3k3W,"BROTHER STONE (FEAT. KODAK BLACK)","HARDSTONE PSYCHO","Don Toliver;Kodak Black",2024-06-14,202840,70,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-16T19:18:12Z,"","Cactus Jack / Atlantic",0.83,0.529,1,-6.374,1,0.324,0.0733,0,0.107,0.54,157.009,4
spotify:track:62qGV0G7Nu2IEqL5sWKuSB,"4X4","HARDSTONE PSYCHO","Don Toliver",2024-06-14,202746,62,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-16T19:25:37Z,"","Cactus Jack / Atlantic",0.481,0.595,8,-5.57,1,0.044,0.0188,0.0000754,0.121,0.0546,129.922,4
spotify:track:7i8ncEfBk3s0w5YoG43SV9,"PURPLE RAIN (FEAT. FUTURE & METRO BOOMIN)","HARDSTONE PSYCHO","Don Toliver;Future;Metro Boomin",2024-06-14,207586,62,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-16T19:37:33Z,"rap","Cactus Jack / Atlantic",0.391,0.583,7,-4.929,0,0.0899,0.288,0.00000398,0.277,0.277,170.109,4
spotify:track:2c7z5oRcPBbqRaBY2mLWcf,"NEW DROP","HARDSTONE PSYCHO","Don Toliver",2024-06-14,217333,83,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-16T19:41:05Z,"","Cactus Jack / Atlantic",0.757,0.628,4,-6.715,0,0.101,0.189,0.0209,0.221,0.321,119.98,4
spotify:track:08HoJTQtpq4mtcmy6DbGZc,"DEEP IN THE WATER","HARDSTONE PSYCHO","Don Toliver",2024-06-14,170333,64,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-17T00:15:25Z,"","Cactus Jack / Atlantic",0.684,0.547,7,-5.332,0,0.0375,0.345,0.000152,0.11,0.115,124.076,4
spotify:track:1zTGRPGqfZP0cfyTmoQP0V,"5 TO 10","HARDSTONE PSYCHO","Don Toliver",2024-06-14,193626,70,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-17T00:26:01Z,"","Cactus Jack / Atlantic",0.72,0.617,5,-5.16,1,0.0358,0.35,0,0.148,0.387,128.055,4
spotify:track:5c1BL2HbPdXc0t4JeznwyH,"LAST LAUGH","HARDSTONE PSYCHO","Don Toliver",2024-06-14,241493,53,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-17T00:29:45Z,"","Cactus Jack / Atlantic",0.666,0.642,8,-4.363,0,0.0425,0.0491,0.0000594,0.142,0.11,120.02,4
spotify:track:37srJxBv0dfjmyvbX7xMAh,"SÃO PAULO","Só Vilão, Aqui Não Tem Herói","Kyan;Niink;Mu540;AK1N",2024-06-20,173334,0,true,8jtopaclkzi6fkcxvnzy3t27q,2024-06-20T10:46:34Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Kyan",0.848,0.732,1,-4.344,1,0.3,0.269,0,0.543,0.713,143.955,4
